year,month,day,hour,Quarter,Days_since_start,Overturning_Strength
2004,4,2,0,2,1,9.6899328
2004,4,2,12,2,1.5,10.193495
2004,4,3,0,2,2,10.660849
2004,4,3,12,2,2.5,11.077229
2004,4,4,0,2,3,11.432414
2004,4,4,12,2,3.5,11.721769
2004,4,5,0,2,4,11.946767
2004,4,5,12,2,4.5,12.114946
2004,4,6,0,2,5,12.239285
2004,4,6,12,2,5.5,12.337072
2004,4,7,0,2,6,12.428356
2004,4,7,12,2,6.5,12.53415
2004,4,8,0,2,7,12.67454
2004,4,8,12,2,7.5,12.866877
2004,4,9,0,2,8,13.124216
2004,4,9,12,2,8.5,13.454153
2004,4,10,0,2,9,13.858151
2004,4,10,12,2,9.5,14.33143
2004,4,11,0,2,10,14.8634
2004,4,11,12,2,10.5,15.43862
2004,4,12,0,2,11,16.038139
2004,4,12,12,2,11.5,16.641113
2004,4,13,0,2,12,17.226494
2004,4,13,12,2,12.5,17.774652
2004,4,14,0,2,13,18.268747
2004,4,14,12,2,13.5,18.695751
2004,4,15,0,2,14,19.047024
2004,4,15,12,2,14.5,19.318454
2004,4,16,0,2,15,19.51016
2004,4,16,12,2,15.5,19.62585
2004,4,17,0,2,16,19.671932
2004,4,17,12,2,16.5,19.656499
2004,4,18,0,2,17,19.588302
2004,4,18,12,2,17.5,19.475833
2004,4,19,0,2,18,19.326609
2004,4,19,12,2,18.5,19.146724
2004,4,20,0,2,19,18.940721
2004,4,20,12,2,19.5,18.711788
2004,4,21,0,2,20,18.46225
2004,4,21,12,2,20.5,18.194307
2004,4,22,0,2,21,17.910912
2004,4,22,12,2,21.5,17.616665
2004,4,23,0,2,22,17.31859
2004,4,23,12,2,22.5,17.02665
2004,4,24,0,2,23,16.753877
2004,4,24,12,2,23.5,16.516041
2004,4,25,0,2,24,16.330831
2004,4,25,12,2,24.5,16.216567
2004,4,26,0,2,25,16.190562
2004,4,26,12,2,25.5,16.267265
2004,4,27,0,2,26,16.456398
2004,4,27,12,2,26.5,16.761285
2004,4,28,0,2,27,17.177587
2004,4,28,12,2,27.5,17.692622
2004,4,29,0,2,28,18.285378
2004,4,29,12,2,28.5,18.927283
2004,4,30,0,2,29,19.583688
2004,4,30,12,2,29.5,20.215987
2004,5,1,0,2,30,20.784174
2004,5,1,12,2,30.5,21.249655
2004,5,2,0,2,31,21.57806
2004,5,2,12,2,31.5,21.741817
2004,5,3,0,2,32,21.722283
2004,5,3,12,2,32.5,21.511242
2004,5,4,0,2,33,21.111666
2004,5,4,12,2,33.5,20.537688
2004,5,5,0,2,34,19.813789
2004,5,5,12,2,34.5,18.97331
2004,5,6,0,2,35,18.056384
2004,5,6,12,2,35.5,17.107482
2004,5,7,0,2,36,16.172744
2004,5,7,12,2,36.5,15.297267
2004,5,8,0,2,37,14.522545
2004,5,8,12,2,37.5,13.884177
2004,5,9,0,2,38,13.409983
2004,5,9,12,2,38.5,13.118603
2004,5,10,0,2,39,13.018642
2004,5,10,12,2,39.5,13.108372
2004,5,11,0,2,40,13.37601
2004,5,11,12,2,40.5,13.800521
2004,5,12,0,2,41,14.35291
2004,5,12,12,2,41.5,14.997919
2004,5,13,0,2,42,15.696043
2004,5,13,12,2,42.5,16.405752
2004,5,14,0,2,43,17.085804
2004,5,14,12,2,43.5,17.697525
2004,5,15,0,2,44,18.206927
2004,5,15,12,2,44.5,18.586562
2004,5,16,0,2,45,18.816998
2004,5,16,12,2,45.5,18.88783
2004,5,17,0,2,46,18.798165
2004,5,17,12,2,46.5,18.556538
2004,5,18,0,2,47,18.180243
2004,5,18,12,2,47.5,17.694114
2004,5,19,0,2,48,17.128811
2004,5,19,12,2,48.5,16.518719
2004,5,20,0,2,49,15.899606
2004,5,20,12,2,49.5,15.306191
2004,5,21,0,2,50,14.76983
2004,5,21,12,2,50.5,14.316475
2004,5,22,0,2,51,13.965085
2004,5,22,12,2,51.5,13.726612
2004,5,23,0,2,52,13.60363
2004,5,23,12,2,52.5,13.590637
2004,5,24,0,2,53,13.674975
2004,5,24,12,2,53.5,13.83828
2004,5,25,0,2,54,14.058303
2004,5,25,12,2,54.5,14.310939
2004,5,26,0,2,55,14.572264
2004,5,26,12,2,55.5,14.820406
2004,5,27,0,2,56,15.037096
2004,5,27,12,2,56.5,15.208778
2004,5,28,0,2,57,15.32722
2004,5,28,12,2,57.5,15.389615
2004,5,29,0,2,58,15.398198
2004,5,29,12,2,58.5,15.359472
2004,5,30,0,2,59,15.283153
2004,5,30,12,2,59.5,15.180951
2004,5,31,0,2,60,15.065328
2004,5,31,12,2,60.5,14.948344
2004,6,1,0,2,61,14.840676
2004,6,1,12,2,61.5,14.750884
2004,6,2,0,2,62,14.684936
2004,6,2,12,2,62.5,14.645999
2004,6,3,0,2,63,14.634472
2004,6,3,12,2,63.5,14.648218
2004,6,4,0,2,64,14.682951
2004,6,4,12,2,64.5,14.732735
2004,6,5,0,2,65,14.790542
2004,6,5,12,2,65.5,14.848838
2004,6,6,0,2,66,14.900143
2004,6,6,12,2,66.5,14.937543
2004,6,7,0,2,67,14.955113
2004,6,7,12,2,67.5,14.948225
2004,6,8,0,2,68,14.913733
2004,6,8,12,2,68.5,14.850002
2004,6,9,0,2,69,14.756804
2004,6,9,12,2,69.5,14.635096
2004,6,10,0,2,70,14.48669
2004,6,10,12,2,70.5,14.313894
2004,6,11,0,2,71,14.119148
2004,6,11,12,2,71.5,13.904719
2004,6,12,0,2,72,13.672518
2004,6,12,12,2,72.5,13.424057
